year_added,Action & Adventure,Children & Family Movies,Comedies,Documentaries,Dramas,Independent Movies,International Movies,International TV Shows,Romantic Movies,TV Dramas
2008,0,0,0,0,1,1,0,0,0,0
2009,0,0,0,0,1,0,1,0,0,0
2011,0,1,0,0,13,0,1,0,0,0
2012,0,1,2,1,0,0,0,0,0,0
2013,0,2,1,1,0,0,0,1,0,4
2014,1,4,2,8,0,0,2,0,0,3
2015,2,11,12,13,12,7,10,3,1,8
2016,18,20,48,68,65,31,82,86,7,43
2017,97,78,177,206,293,116,395,205,63,130
2018,173,85,297,167,531,163,668,214,108,109
2019,202,147,420,188,564,201,610,335,150,164
2020,170,170,416,118,535,148,575,277,173,164
2021,196,122,299,99,412,89,408,229,114,137
